image_path,label,brightness
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-glTr_0000.jpg,glioma,31.396732330322266
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-glTr_0001.jpg,glioma,37.85708236694336
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-glTr_0002.jpg,glioma,36.04903793334961
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-glTr_0003.jpg,glioma,24.9200439453125
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-glTr_0004.jpg,glioma,32.0991325378418
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-glTr_0005.jpg,glioma,30.11882781982422
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-glTr_0006.jpg,glioma,23.685123443603516
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-glTr_0007.jpg,glioma,43.181636810302734
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-glTr_0008.jpg,glioma,31.953052520751953
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-glTr_0009.jpg,glioma,32.59636306762695
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-gl_0010.jpg,glioma,31.949440002441406
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-gl_0011.jpg,glioma,33.04631042480469
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-gl_0012.jpg,glioma,30.18429183959961
C:\Users\itxab\Downloads\AI\Brain_Tumor_Detection_Using_Deep_Learning\data\raw\glioma\Tr-gl_0013.jpg,glioma,32.29227066040039
